Fire Department,Chief / Captain,Address,City / State / Zip,County,Phone,Email Address,FDID,Address2,Latitude,Longtitude
Wadesboro Fire Department,Randall Scott Martin,P.O. Box 697,"Wadesboro, NC 28170",Anson,(704) 694-2167,rsm2011@windstream.net,407,"P.O. Box 697 Wadesboro, NC 28170",34.9682097,-80.0767266
"Warrenton Rural Voluntary Fire Association, Inc.",Walter M. Gardner,Post Office Box 175,"Warrenton, NC 27589",Warren,(252) 257-3741,warrentonruralvfd@nc.rr.com,9311,"Post Office Box 175 Warrenton, NC 27589",36.3984803,-78.1552706
Washington Fire-Rescue-EMS,Mark Allen Yates,410 North Market Street,"Washington, NC 27889",Beaufort,(252) 948-9400,myates@washingtonnc.gov,706,"410 North Market Street Washington, NC 27889",35.5464318,-77.0525786
"Clarks Neck Fire and Rescue Department, Inc.",Bryan K Dixon,5440 Clarks Neck Rd,"Washington, NC 27889",Pitt,(252) 943-7428,clarksneckvfd@gmail.com,7425,"5440 Clarks Neck Rd Washington, NC 27889",35.5883333,-77.1391912
"Waxhaw Community Volunteer Fire Department and Rescue Squad, Inc.",Gregory  Sharpe,P.O. Box 1258,"Waxhaw, NC 28173",Union,(704) 843-4001,gsharpe@waxhawvfd.org,9016,"P.O. Box 1258 Waxhaw, NC 28173",34.9245935,-80.7434019
"Saunook Volunteer Fire Department, Inc.",Chris S. Chandler,2908 Old Balsam Road,"Waynesville, NC 28786",Haywood,(828) 452-2946,cchandler@waynesvillenc.gov,4410,"2908 Old Balsam Road Waynesville, NC 28786",35.4519974,-83.0561476
Waynesville Fire Department,Joey  Webb Sr,1022 N. Main Street,"Waynesville, NC 28786",Haywood,(828) 456-6151,jwebb@waynesvillenc.gov,4411,"1022 N. Main Street Waynesville, NC 28786",35.4972415,-82.9762812
Weaverville Fire Department,Ted   Williams,PO Box 338,"Weaverville, NC 28787",Buncombe,(828) 645-3500,twilliams@weavervillefd.org,1120,"PO Box 338 Weaverville, NC 28787",35.6970547,-82.5606851
Wendell Holmes Rural Fire Department,Alton B Staples,2960 Wendell Boulevard,"Wendell, NC 27591",Wake,(919) 365-3635,firedepartment@townofwendell.com,9222,"2960 Wendell Boulevard Wendell, NC 27591",35.7903287,-78.3779665
"West End Fire and Rescue, Inc.",Erik H Stromberg,P.O Box 596,"West End, NC 27376",Moore,(910) 673-0905,etstromberg@gmail.com,6361,"P.O Box 596 West End, NC 27376",35.2399843,-79.5671837
"Leggett Volunteer Fire Department, Inc.",David  Coker,1379 Coker Town Road,"Whitakers, NC 27891",Edgecombe,(252) 823-6693,david@cokertown.com,3302,"1379 Coker Town Road Whitakers, NC 27891",36.0703942,-77.5982389
Williams Township Community Volunteer Fire Department,Mark  Prince,1655 FM Cartret Road,"Whiteville, NC 28472",Columbus,,clydeprince00@gmail.com,2413,"1655 FM Cartret Road Whiteville, NC 28472",34.2052217,-78.7631397
White Marsh - Welches Creek Community Volunteer Fire Department,William  Rushing,45 Millie Christine Rd.,"Whiteville, NC 28472",Columbus,,wmwcfd@embarqmail.com,2415,"45 Millie Christine Rd. Whiteville, NC 28472",34.3855379,-78.6757507
"Whitsett Fire Department, Inc.",Leon  Apple,P.O. Box 148,"Whitsett, NC 27377",Guilford,(336) 449-7811,wfd.chief31@yahoo.com,4126,"P.O. Box 148 Whitsett, NC 27377",36.0765919,-79.5699371
Wilkesboro Fire Department,Jason R Smithey,400 South Cherry Street,"Wilkesboro, NC 28697",Wilkes,(336) 667-6228,firechief@wilkesboronorthcarolina.com,9716,"400 South Cherry Street Wilkesboro, NC 28697",36.1418663,-81.1593742
"Shiloh-Columbia Volunteer Fire Department, Inc.",William H. Rossell,19170 Highway 421,"Willard, NC 28478",Pender,(910) 789-1871,whr1900@yahoo.com,7108,"19170 Highway 421 Willard, NC 28478",34.593398,-78.1036542
Williamston Fire/Rescue/EMS,Phillip M Peaks,Post Office Box 602,"Williamston, NC 27892",Martin,(252) 792-3521,michaelpeaks@townofwilliamston.com,5907,"Post Office Box 602 Williamston, NC 27892",35.8546039,-77.0555114
New Hanover County Fire/Rescue,Donnie  Hall,"230 Government Center
Drive, Suite 130","Wilmington, NC 28403",New Hanover,(910) 798-7420,dhall@nhcgov.com,6513,"230 Government Center
Drive, Suite 130 Wilmington, NC 28403",34.24219,-77.86711
Wilson Fire/Rescue Services,Albert L Alston,307 Hines Street West,"Wilson, NC 27893",Wilson,(252) 399-2891,aalston@wilsonnc.org,9810,"307 Hines Street West Wilson, NC 27893",35.7258593,-77.9191936
"Mineral Springs Volunteer Fire and Rescue, Inc.",Norman E Walker,1338 Old Hollow Road,"Winston Salem, NC 27105",Forsyth,(336) 767-0411,chief@msvfr18.com,3410,"1338 Old Hollow Road Winston Salem, NC 27105",36.1899262,-80.2227659
"Gumtree Fire & Rescue, Inc.",Scott  Routh,2466 Gumtree Rd.,"Winston Salem, NC 27107",Davidson,(336) 703-2560,routhcs@forsyth.cc,2925,"2466 Gumtree Rd. Winston Salem, NC 27107",35.996715,-80.1980864
Wrightsville Beach Fire Department,Glen  Rogers,3 B Bob Sawyer St.,"Wrightsville Beach, NC 28480",New Hanover,(910) 256-7920,grogers@towb.org,6511,"3 B Bob Sawyer St. Wrightsville Beach, NC 28480",34.2154842,-77.8046512
"Youngsville Volunteer Fire Department, Inc.",Tommie  Lloyd,P.O. Box 238,"Youngsville, NC 27549",Franklin,(919) 556-6899,tlloyd@yvfd.com,3510,"P.O. Box 238 Youngsville, NC 27549",36.0248732,-78.4744439
"Pilot Fire Department, Inc",Thomas Lane Hobbs,8028 Hwy 39 South,"Zebulon, NC 27597",Franklin,(919) 269-7679,lanehobbs@att.net,3509,"8028 Hwy 39 South Zebulon, NC 27597",35.8883922,-78.2656347
AFFF (FIREFIGHTING FOAM),,230 OLD EASTWOOD ROAD,WILMINGTON  NC  28403,NEW HANOVER,,,,230 Old Eastwood Rd,34.24349743,-77.86225454
AFFF FOAM,,825 CEDAR SPRINGS RD,SALISBURY  NC  28147,ROWAN,,,,825 Cedar Springs Rd,35.632953,-80.535834
NO CHRIS CODE - AFFF FOAM,,INTERSTATE - 85,BELMONT  NC  ,GASTON,,,,I-85 N,35.25675436,-81.04224625
UNKNOWN CHEMICALS,,INTERSTATE - 85,BELMONT  NC  ,GASTON,,,,I-85 N,35.25675436,-81.04224625
GENX,,3760 SUNNYSIDE SCHOOL ROAD,FAYETTEVILLE  NC  28312,CUMBERLAND,,,,3760 Sunnyside School Rd,35.0279605,-78.80114181
FIRE FIGHTING FOAM CHEMICALS,,9826 SOUTHERN PINES BLVD,CHARLOTTE  NC  ,MECKLENBURG,,,,9826 Southern Pine Blvd,35.130402,-80.9199495
FIRE FIGHTING FOAM,,5710 WEST BLVD,CHARLOTTE  NC  ,MECKLENBURG,,,,5710 West Blvd,35.196831,-80.9569215
PERFLUOROPROPIONYLFLUORIDE,,22828 NC HWY 87W,FAYETTEVILLE  NC  ,BLADEN,,,,22828 NC Highway 87 W,34.836678,-78.837885
FIRE FIGHTING FOAM,,1185 SEA SHORE DRIVE,ATLANTIC  NC  ,CARTERET,,,,1185 Seashore Dr,34.88514665,-76.33371571
SOOT,,1185 SEA SHORE DRIVE,ATLANTIC  NC  ,CARTERET,,,,1185 Seashore Dr,34.88514665,-76.33371571
CARBANYL FLUORIDE,,22828 NC HWY 87 W,FAYETTEVILLE  NC  28306,BLADEN,,,,22828 NC Highway 87 W,34.836678,-78.837885
PERFLUORACETYL FLUORIDE,,22828 NC HWY 87 W,FAYETTEVILLE  NC  28306,BLADEN,,,,22828 NC Highway 87 W,34.836678,-78.837885
FIRE FIGHTING FOAM,,12700 HAGERS FERRY,HUNTERSVILLE  NC  ,MECKLENBURG,,,,12700 Hagers Ferry Rd,35.432649,-80.948475
"OIL, MISC: TRANSFORMER",,12700 HAGERS FERRY,HUNTERSVILLE  NC  ,MECKLENBURG,,,,12700 Hagers Ferry Rd,35.432649,-80.948475
POLYCHLORINATED BIPHENYLS,,12700 HAGERS FERRY,HUNTERSVILLE  NC  ,MECKLENBURG,,,,12700 Hagers Ferry Rd,35.432649,-80.948475
BRAKE FLUID BASE MIXTURES,,15937 WEST HWY US- 421,WILKESBORO  NC  ,WILKES,,,,W US Highway 421,36.1445313,-81.30159397
FIRE FIGHTING FOAM,,15937 WEST HWY US- 421,WILKESBORO  NC  ,WILKES,,,,W US Highway 421,36.1445313,-81.30159397
HYDRAULIC OIL,,15937 WEST HWY US- 421,WILKESBORO  NC  ,WILKES,,,,W US Highway 421,36.1445313,-81.30159397
OIL: DIESEL,,15937 WEST HWY US- 421,WILKESBORO  NC  ,WILKES,,,,W US Highway 421,36.1445313,-81.30159397
AFFF FIRE-FIGHTING FOAM,,6239 WORLDWIDE DR,GREENSBORO  NC  ,GUILFORD,,,,6239 Worldwide Dr,36.12035581,-79.92469676
AFFF,,HWY 101 & 70,HAVELOCK  NC  28533,CRAVEN,,,,NC Highway 101,34.88227647,-76.86966412
AFFF (FIRE FIGHTING FOAM),,MOOREHEAD CITY BAY,MOOREHEAD CITY  NC  ,CARTERET,,,,0,34.72179,-76.71758
AFFF(LIGHT WATER FIRE FIGHTING FOEMAM),,HWY 70 AND HWY 101,CHERRY POINT  NC  28533,CRAVEN,,,,US-70 & NC-101,34.882731,-76.9100085
AQUEOUS FILM FORMING FOAM,,POPE AFB,POPE AFB  NC  28308,CUMBERLAND,,,,0,35.17128,-79.01042
AFFF,,CHICKEN AND MACRIDGE ROAD,POPE AFB  NC  28308,CUMBERLAND,,,,Chicken Rd & Macridge Rd,35.093817,-79.031169
AQUEOUS FILM FORMING FOAM,,POPE AFB,POPE AFB  NC  28308,CUMBERLAND,,,,0,35.17128,-79.01042
